Unit,Current_T,Last_T,Delta_T,Current_Y,Last_Y,Delta_Y,PC,BurnIn
4,0,NA,NA,0,NA,NA,PC2,Yes
4,6,0,6,2.6,0,2.6,PC2,No
4,12,6,6,4.4,2.6,1.8,PC2,No
4,24,12,12,6,4.4,1.6,PC2,No
4,48,24,24,8.7,6,2.7,PC2,No
4,96,48,48,14.6,8.7,5.9,PC2,No
4,156,96,60,16.8,14.6,2.2,PC2,No
4,230,156,74,17.9,16.8,1.1,PC2,No
4,324,230,94,23.2,17.9,5.3,PC2,No
4,479,324,155,27,23.2,3.8,PC2,No
4,635,479,156,31.3,27,4.3,PC2,No
5,0,NA,NA,0,NA,NA,PC2,Yes
5,6,0,6,4.3,0,4.3,PC2,No
5,12,6,6,5.8,4.3,1.5,PC2,No
5,24,12,12,9.5,5.8,3.7,PC2,No
5,48,24,24,10.2,9.5,0.7,PC2,No
5,96,48,48,13.8,10.2,3.6,PC2,No
5,156,96,60,20.6,13.8,6.8,PC2,No
5,230,156,74,19.7,20.6,-0.9,PC2,No
5,324,230,94,25.3,19.7,5.6,PC2,No
5,479,324,155,33.4,25.3,8.1,PC2,No
5,635,479,156,27.9,33.4,-5.5,PC2,No
6,0,NA,NA,0,NA,NA,PC2,Yes
6,6,0,6,3.6,0,3.6,PC2,No
6,12,6,6,4.7,3.6,1.1,PC2,No
6,24,12,12,6.2,4.7,1.5,PC2,No
6,48,24,24,9.1,6.2,2.9,PC2,No
6,96,48,48,11.7,9.1,2.6,PC2,No
6,156,96,60,13.8,11.7,2.1,PC2,No
6,230,156,74,14.5,13.8,0.7,PC2,No
6,324,230,94,15.5,14.5,1,PC2,No
6,479,324,155,23.1,15.5,7.6,PC2,No
6,635,479,156,24,23.1,0.9,PC2,No
7,0,NA,NA,0,NA,NA,PC2,Yes
7,6,0,6,0.5,0,0.5,PC2,No
7,12,6,6,0.9,0.5,0.4,PC2,No
7,24,12,12,1.4,0.9,0.5,PC2,No
7,48,24,24,3.3,1.4,1.9,PC2,No
7,96,48,48,5,3.3,1.7,PC2,No
7,156,96,60,6.1,5,1.1,PC2,No
7,230,156,74,9.9,6.1,3.8,PC2,No
7,324,230,94,13.2,9.9,3.3,PC2,No
7,479,324,155,17,13.2,3.8,PC2,No
7,635,479,156,20.7,17,3.7,PC2,No
